beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address
the apprentice school charitable trust,UK,United Kingdom,project,England,East Midlands,,,,
national plant (vocational skills) limited,UK,United Kingdom,project,England,North East,,,,
the wasps trust,UK,United Kingdom,project,Scotland,Lowlands and Uplands,,,,
thomas rotherham college,UK,United Kingdom,project,England,South Yorkshire,,,,
the learning partnership - bedfordshire and,UK,United Kingdom,project,England,East of England,,,,
tcv employment and training services,UK,United Kingdom,project,England,North West,,,,
pearson in practice skills based learning,UK,United Kingdom,project,England,East Midlands,,,,
play services ireland ltd,UK,United Kingdom,project,Northern Ireland,,,,,
waltham forest college,UK,United Kingdom,project,England,London,,,,
icon e-business ltd,UK,United Kingdom,project,Northern Ireland,,,,,
the college of animal welfare limited,UK,United Kingdom,project,England,West Midlands,,,,
turkington livestock systems limited,UK,United Kingdom,project,Northern Ireland,,,,,
firefly safety ltd,UK,United Kingdom,project,Northern Ireland,,,,,
p.t.p. training limited,UK,United Kingdom,project,England,West Midlands,,,,
south thames college,UK,United Kingdom,project,England,London,,,,
5 e ltd.,UK,United Kingdom,project,England,London,,,,
regis training company limited,UK,United Kingdom,project,England,South East,,,,
"j rooney, r rooney & a rooney t/a rooney fish",UK,United Kingdom,project,Northern Ireland,,,,,
off the streets and into work (osw),UK,United Kingdom,project,England,London,,,,
everywoman limited,UK,United Kingdom,project,England,London,,,,
derby college,UK,United Kingdom,project,England,East of England,,,,
baltic training services limited,UK,United Kingdom,project,England,South West,,,,
tbg,UK,United Kingdom,project,England,South East,,,,
newcastle college construction limited,UK,United Kingdom,project,England,East of England,,,,
coote engineering ltd,UK,United Kingdom,project,Northern Ireland,,,,,
mobilereport ltd,UK,United Kingdom,project,Northern Ireland,,,,,
business and education london south,UK,United Kingdom,project,England,London,,,,
welbeck estates company limited,UK,United Kingdom,project,England,East Midlands,,,,
redwood education consultancy limited,UK,United Kingdom,project,England,South East,,,,
south worcestershire college,UK,United Kingdom,project,England,London,,,,
s & b automotive academy limited,UK,United Kingdom,project,England,South East,,,,
"futures advice, skills and employment",UK,United Kingdom,project,England,East Midlands,,,,
harlow college,UK,United Kingdom,project,England,Merseyside,,,,
university of ulster,UK,United Kingdom,project,Northern Ireland,,,,,
stafford college,UK,United Kingdom,project,England,West Midlands,,,,
positive outcomes ltd,UK,United Kingdom,project,England,London,,,,
ixion social enterprise limited,UK,United Kingdom,project,England,East Midlands,,,,
university of abertay dundee,UK,United Kingdom,project,Scotland,Lowlands and Uplands,,,,
equiniti ics ltd,UK,United Kingdom,project,Northern Ireland,,,,,
softedge systems (ni) limited,UK,United Kingdom,project,Northern Ireland,,,,,
agility people services limited,UK,United Kingdom,project,England,North East,,,,
kwik-fit (gb) limited,UK,United Kingdom,project,England,London,,,,
cornwall college,UK,United Kingdom,project,England,East of England,,,,
caledonian maritime assets ltd,UK,United Kingdom,project,Scotland,Highland and Islands,,,,
asset training & consultancy limited,UK,United Kingdom,project,England,West Midlands,,,,
intraining (esd) ltd,UK,United Kingdom,project,England,East Midlands,,,,
east london advanced technology training,UK,United Kingdom,project,England,London,,,,
paul doherty,UK,United Kingdom,project,Northern Ireland,,,,,
rochdale training association limited,UK,United Kingdom,project,England,South Yorkshire,,,,
east kent college,UK,United Kingdom,project,England,South East,,,,
institute of swimming limited,UK,United Kingdom,project,England,South Yorkshire,,,,
agrihealth (ni) ltd,UK,United Kingdom,project,Northern Ireland,,,,,
springco (ni) limited,UK,United Kingdom,project,Northern Ireland,,,,,
gk training services limited,UK,United Kingdom,project,England,North West,,,,
derby college,UK,United Kingdom,project,England,West Midlands,,,,
education & youth services limited,UK,United Kingdom,project,England,North West,,,,
sunderland college,UK,United Kingdom,project,England,East of England,,,,
lincoln academy limited,UK,United Kingdom,project,England,East Midlands,,,,
tresham college of further and higher,UK,United Kingdom,project,England,South Yorkshire,,,,
wakefield college,UK,United Kingdom,project,England,South Yorkshire,,,,
intuitions limited,UK,United Kingdom,project,England,North East,,,,
nipak ltd,UK,United Kingdom,project,Northern Ireland,,,,,
city of wolverhampton college,UK,United Kingdom,project,England,Yorkshire,,,,
essential designs (ni) ltd,UK,United Kingdom,project,Northern Ireland,,,,,
talent training (uk) llp,UK,United Kingdom,project,England,East of England,,,,
west yorkshire probation trust,UK,United Kingdom,project,England,Yorkshire,,,,
the college of animal welfare limited,UK,United Kingdom,project,England,Yorkshire,,,,
department for communities & local government,UK,United Kingdom,project,England,Cornwall and the Isles of Scilly,,,,
university of plymouth general account,UK,United Kingdom,project,England,South West,,,,
cargobox ltd,UK,United Kingdom,project,Northern Ireland,,,,,
qgs synergy limited,UK,United Kingdom,project,England,West Midlands,,,,
education & youth services limited,UK,United Kingdom,project,England,East Midlands,,,,
brett martin ltd,UK,United Kingdom,project,Northern Ireland,,,,,
watford ymca,UK,United Kingdom,project,England,East of England,,,,
being communications limited,UK,United Kingdom,project,Northern Ireland,,,,,
cfbt education trust,UK,United Kingdom,project,England,North East,,,,
a4e ltd,UK,United Kingdom,project,England,Cornwall and the Isles of Scilly,,,,
ctc kingshurst academy,UK,United Kingdom,project,England,West Midlands,,,,
triangle training ltd.,UK,United Kingdom,project,England,Yorkshire,,,,
hammersmith and fulham london borough,UK,United Kingdom,project,England,London,,,,
kaplan financial limited,UK,United Kingdom,project,England,East Midlands,,,,
central manchester university hospitals nhs foundation trust,UK,United Kingdom,project,England,North West,,,,
university of plymouth general account,UK,United Kingdom,project,England,Cornwall and the Isles of Scilly,,,,
randox laboratories limited,UK,United Kingdom,project,Northern Ireland,,,,,
a4e ltd,UK,United Kingdom,project,England,Yorkshire,,,,
portslade community college,UK,United Kingdom,project,England,South East,,,,
eastleigh college,UK,United Kingdom,project,England,East of England,,,,
the prince's trust,UK,United Kingdom,project,England,East Midlands,,,,
future healthcare (ni) ltd,UK,United Kingdom,project,Northern Ireland,,,,,
leek college of further education and,UK,United Kingdom,project,England,North West,,,,
retail motor industry training limited,UK,United Kingdom,project,England,East of England,,,,
access training limited,UK,United Kingdom,project,England,North East,,,,
project management (staffordshire) limited,UK,United Kingdom,project,England,West Midlands,,,,
